  no.      freq.      period     coherency     phase     Gain relative to 2
  406    0.07760    12.88670     0.1295415   181.235     0.0288747
  407    0.07779    12.85504     0.1221328   182.660     0.0276744
  408    0.07798    12.82353     0.1252535   183.394     0.0268423
  409    0.07817    12.79218     0.1266721   184.755     0.0255473
  410    0.07836    12.76098     0.1278567   185.869     0.0250269
  411    0.07856    12.72993     0.1305860   184.673     0.0259155
  412    0.07875    12.69903     0.1340482   182.708     0.0271499
  413    0.07894    12.66828     0.1388760   180.060     0.0288999
  414    0.07913    12.63768     0.1399215   176.517     0.0303813
  415    0.07932    12.60723     0.1288565   174.918     0.0298925
  416    0.07951    12.57692     0.1179306   175.875     0.0277731
  417    0.07970    12.54676     0.1156799   177.337     0.0260610
  418    0.07989    12.51675     0.1220718   179.739     0.0250783
  419    0.08008    12.48687     0.1310387   182.868     0.0247901
  420    0.08028    12.45714     0.1337130   184.009     0.0264694
  421    0.08047    12.42755     0.1324077   184.375     0.0298563
  422    0.08066    12.39810     0.1354900   184.113     0.0324952
  423    0.08085    12.36879     0.1384202   182.805     0.0322741
  424    0.08104    12.33962     0.1416253   182.333     0.0305332
  425    0.08123    12.31059     0.1508691   182.827     0.0297165
  426    0.08142    12.28169     0.1692849   182.085     0.0308029
  427    0.08161    12.25293     0.1770438   180.393     0.0316096
  428    0.08180    12.22430     0.1724017   178.882     0.0311940
  429    0.08200    12.19580     0.1592879   178.460     0.0297224
  430    0.08219    12.16744     0.1481094   179.763     0.0285286
  431    0.08238    12.13921     0.1536977   181.937     0.0287825
  432    0.08257    12.11111     0.1771597   183.600     0.0301428
  433    0.08276    12.08314     0.2240366   183.240     0.0324878
  434    0.08295    12.05530     0.2682263   181.320     0.0339441
  435    0.08314    12.02759     0.2788923   179.990     0.0334437
  436    0.08333    12.00000     0.2636926   180.000     0.0324277
